PredictedSentiment,TweetText,CleanedTweet
neutral,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”",come dark side gretcheneclark apple send free iphone publicly ceremoniously burn blackberry
neutral,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.",apple send free iphone version publicly ceremoniously burn blackberry
positive,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards,thank apple find located wiped stolen smallvictory thievingbastards
neutral,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",thanks apple covent garden geniusbar replacing macbook keyboardcracked wristpad lunch break today warranty
neutral,@DailyDealChat @apple Thanks!!,dailydealchat apple thanks
neutral,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,ipads replace bound playbook team http uxawkwf apple nytimes
neutral,@apple..good ipad,apple good ipad
neutral,@apple @siri is efffing amazing!!,apple siri efing amazing
neutral,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM,amazing apple feature http cojatfvfpm
neutral,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",triplingo featured education apps apple website today sweet http ywvbe
neutral,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",featured education apps apple website today sweet http ywvbe
negative,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

",want something done right apple useless day yourdaysarenumbered
neutral,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,unexpected workshop iphone apple yesterday awesome amount info notjustaboutthephone gamerchik
neutral,&lt;3 #ios5 @apple,apple
neutral,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,apple question aintentrippin iphone
negative,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,imightbewrong people bitching iphone think smartest phone ever happy
neutral,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,people bitching iphone think smartest phone ever happy apple
neutral,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,twitter point apple corporate mentor signups triple http cogcy iphn
neutral,At the bus with my iPhone ;) thxx @apple,iphone thxx apple
neutral,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",azee apple umber appstore well done itunes mobile device talking desktop
neutral,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,nytimes coach want bring ipad http ftieng ipad apple wish ipad
positive,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,apple jilive danielpink apple sell million iphone unit first weekend steve job brilliance life ever iphone
positive,@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!,blackberry like titanic seems everyone running apple iphone life raft enough everyone
positive,@bkad5161 than apologize to @apple ;),bkad apologize apple
neutral,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX,apple downloads proving popular user http conshlfiux
neutral,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI",lmfao look argument siri ijustine apple http
neutral,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,incredible million iphone day better iphone http fmjxtmm apple iphone
positive,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple,save unwanted help iphone seen light http backchannel apple
positive,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,well apple fixed battery drain problem replacement iphone working like champ
neutral,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,currently ordering brand macbook macbook year miss time apple
positive,you are so blessed. @apple,blessed apple
neutral,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",siri know brother girlfriend thanks apple
neutral,Well at least the @apple store has amazing call waiting music! #need4s,well least apple store amazing call waiting music need
positive,#sweet... #apple replaced my glass #probono. thank you @apple,sweet apple replaced glass probono thank apple
neutral,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,apple sell million iphones debut weekend bloomberg http coavsl smartphone vinodrad
neutral,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology",loving technology apple iphone icloud unreal technology
neutral,I'm loving this new IOS5 update :) @apple,loving update apple
neutral,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,another mention apple store http cofiioapkt floridamike getting great customer service apple store
positive,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,time iphone looking forward sticking longer paying text thanks apple
positive,hey @apple I hate my computer i need a #mack wanna send me a free one.,apple hate computer need mack wan na send free
neutral,Thank you @apple. My new gf(iphone4s) is great!  She does everything!,thank apple iphone great everything
neutral,#iCloud set up was flawless and works like a champ! To the Cloud @Apple,icloud flawless work like champ cloud apple
neutral,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,wisconsin mommy apple totally email company always great service apple store
neutral,@apple loving the new IOS5 upgrade for the iPhone!,apple loving upgrade iphone
positive,The nice @apple tech support guy fixed my iTouch =D,nice apple tech support fixed itouch
neutral,Once again getting great customer service from the @apple store at millenia mall.,getting great customer service apple store millenia mall
neutral,Is it just me or is #iOS5 faster for the iPad? @apple,faster ipad apple
neutral,I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek,love apple imac even though seen hubby day geek
negative,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH,making switch android apple iphone iphone smartphone stevejobs apple store http cokj pjvkh
neutral,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,thankful incredible people apple going beyond offering replacing water damaged macbook
neutral,New macbook is too sick @apple,macbook sick apple
neutral,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1,play loving camera iphone well done apple http cotmdfqre
positive,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.,yeah apple readinglists changed life nowicanspendevenmoretimeonmyphone
neutral,@Apple Safari Reader owns the worldwide web,apple safari reader owns worldwide
positive,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out,love apple service case cracked hand case walk
neutral,"#10twitterpeopleiwouldliketomeet 
@coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)",twitterpeopleiwouldliketomeet coollike thegadgetshow thelittleappkid lakers benrubery apple twitter fxhomehitfilm
neutral,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp,said laid next year apple job last iphone iphone iphone magical http codxxklubp
neutral,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)",kind excited last class right going apple store macosc snow leopard lion
positive,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone,used blackberry disruption lost gig service moving apple iphone
neutral,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w",apple sell million iphones day apple keep well http cozzc
neutral,Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.,lovin iphone update especially slide screen good apple
positive,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!",million weekend iphone second madness apple
neutral,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,apple invested macbook next year time selling android gear
neutral,@iancollinsuk @apple I like what you did there...!,iancollinsuk apple like
positive,I just sent my grandma a post card using my #CardsApp thanks @Apple,sent grandma post card using cardsapp thanks apple
neutral,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive.",kostatsetsekas apple putting wash kind equivalent blend glad hear still alive
neutral,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple,laundering iphone finest moment drying organic rice day booted apple
neutral,"Bravo, @Apple! http://t.co/BgoTzj7K",bravo apple http cobgotzj
neutral,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)",bless youtube apple appletv system loving princessofchina coldplay rihanna
neutral,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :),twitter day smashed iphone apple nice gave
neutral,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.,thank apple email lock screen opening unlocking
neutral,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple),word jldavid iphone first weekend sale four million http cozx apple
neutral,This good here iPhone will do me VERY well today. Thanks to the gods that are @apple.,good iphone well today thanks god apple
neutral,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,nova love easter egg pull middle bottom pull awesome little feature apple
neutral,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,love easter egg pull middle bottom pull awesome little feature apple
neutral,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone,love easter egg pull middle bottom pull awesome little feature apple lovemyiphone
neutral,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.,updated started using cloud service pretty apple iphone still champ
positive,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone",gone beautiful morning love apple iphone
positive,@apple your simply the best.,apple simply best
neutral,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's,must admit apple made happy camper text tone ring tone makemeproud drake vers text tone nicki
neutral,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness",thankful great customer service received today apple phone phone daysofgratefulness
neutral,S/O to @apple for replacing my phone for free,apple replacing phone free
neutral,Loving the new iPod update @apple,loving ipod update apple
positive,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.,alexlindsay wife upgraded iphone think siri alone worth upgrade looking forward apple continuing enhance siri
neutral,RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp,tomkeene instagram apple hypo http cobppjwncp
neutral,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed,stevejobs honored tonite apple truly great loss world missed
neutral,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT,instagram apple hypo http eejhbt
neutral,Loving my new #iPhone4S thanks @apple for #ios5,loving iphone thanks apple
neutral,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX,love much thank apple http coui loezx
neutral,@apple the iPhone 4s is great #genius,apple iphone great genius
neutral,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.,apple card notifies card sent arrived local post office delivered today sunday truly magic
neutral,Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.,love apple update think better somehow simplifies life right apple
neutral,@apple Siri is amazing,apple siri amazing
neutral,@rygurl you need an @apple iphone4S with Siri!,rygurl need apple iphone siri
neutral,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple",meet siri iphone butler click link amazed http colvffdcel apple
neutral,"just my man @apple store in @schaumburg, whoops!!!!😁",apple store schaumburg whoop
positive,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac",using work never ever feel worst speaker ever apple spoiled imamac
neutral,I ♥ @Apple http://t.co/a8on3IAa,apple http
neutral,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry,apple upgrade imessage good luck surviving blackberry
positive,Loving #iOS5 !! #awesome @Apple,loving awesome apple
positive,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}",mattyriesz kathrynyee right iphone must addicted welcome apple club
negative,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge,thank apple innovation exhibit playing facetime instead watching game sport http coou
neutral,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??,blackberry hiss apple wuhu berry powered technology actually work
neutral,@apple by far the best iPod and first time iPhone ever.... Good job guys,apple best ipod first time iphone ever good guy
neutral,Thank you Steve @apple store 5th av. http://t.co/nSAisriP,thank steve apple store http consaisrip
positive,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?,apple siri witchcraft next googleresearch lead lost
neutral,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.",apple sweet notification phone search cover mail wifi sync icloud backup integrated twitter well done
neutral,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...,katebetts another great james stewart story today time importance architecture apple retail success http
neutral,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s,another great james stewart story today time importance architecture apple retail success http cokniz
neutral,I &lt;3 @apple http://t.co/ondXWpEr,apple http coondxwper
neutral,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.,welcome twitter world markstuver apple thanks guy
neutral,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D,impressive service apple genius metro centre power cable replaced free booked screen replacement free
negative,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,lavoy nice apple store replaced phone gratis showed hairline crack screen thanks apple
negative,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,nice apple store replaced phone gratis showed hairline crack screen thanks apple
positive,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.",iphone battery lasted longer happened since edge iphone nice apple
neutral,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!,would taken min write blackberry thank apple converting showing grass greener
neutral,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple,herahussain rickysinghpt backside phone impressed apple
neutral,@RickySinghPT got a new backside for my eye phone! V impressed with @apple,rickysinghpt backside phone impressed apple
negative,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things,iphone space http cojinnhvwz amazing creative apple product inspire people unbelievable thing
neutral,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!,thank apple making ipad feel like
neutral,"_ibertaddigital.tv/ iPad a briliant SteveJobs produck ,http://t.co/00ohfLY6
@Apple present... http://t.co/DBbWSDpx",ibertaddigital ipad briliant stevejobs produck http ohfly apple present http codbbwsdpx
neutral,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple,using awsome ipad love love macbook ipod amazing love apple
negative,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required,apple upgrade done much better feature feature required
neutral,New iOS 5 update is THE BEST. iloveyou @apple,update best iloveyou apple
positive,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.",finally iphone thanks apple stupid learned lesson
neutral,"I absolutely love my iPhone 4S. Thank you, Steve and @apple.",absolutely love iphone thank steve apple
neutral,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s,apple invented product actually get brother call parent get going amazing siri ipod
neutral,"dammit, listening to siri is making me want to upgrade. well played @apple.",dammit listening siri making want upgrade well played apple
neutral,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature",create folder within photo album finally thanks apple thorn side newfeature
neutral,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.,video card kimaris workstation died month long hello apple
positive,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!,blackberry facebook really make throw blackberry trash apple iphone facebook upload issue
neutral,#iOS5 update submitted to @apple! Thanks for all the support!,update submitted apple thanks support
neutral,Awesome service from the @apple store in pc. Thanks chris!,awesome service apple store thanks chris
neutral,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO,apple thanks fixing http cowtj ogdo
positive,I am crazy about #iOS5 . The photo cropping is the best! @apple,crazy photo cropping best apple
neutral,.@apple thanks for fixing this... http://t.co/wTj1ogDO,apple thanks fixing http cowtj ogdo
neutral,Hell yes!!! Got my contacts back!!  Thanks @apple,hell contact back thanks apple
negative,RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE,sawyerhartman king love apple phone best thing ever siri best thing ever made
positive,@apple has changed life.,apple changed life
neutral,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!,prop apple employee charge replace back plate iphone made
positive,"@jonsibley Actually, the @Apple  mouse is pretty sweet man.",jonsibley actually apple mouse pretty sweet
neutral,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple,iphone amazing siri voice recognition absolutely step previous attempt bravo apple
neutral,Finally got the @apple IPhone thanks to @sprint getting with the times,finally apple iphone thanks sprint getting time
neutral,#iOs5 is nice and as it had to be ! Thanks @Apple,nice thanks apple
neutral,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!,good support kevin apple bellevue store customer
neutral,Just downloaded IOS 5. It's better than I expected! #thankyou @apple,downloaded better expected thankyou apple
neutral,@Apple: Siri is amazing!!! I'm in love!,apple siri amazing love
neutral,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6,never poor customer service apple happened apple store others http cogklxmui
neutral,"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg",apple service experience really fucking slipping except cute eyelash batting girlies apple store http codohdenmg
neutral,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!,ipas hour jailbroke shagged itunes letme restore apple
neutral,@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!',hailfire irvysan apple happened snatched siri could douchebags
positive,What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.,apple thinking making siri totally dependent network connection siri utter frustration
positive,Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh,genius reservation line apple ridic right amused
neutral,"Where is my iPhone!?!?!?!
@apple",iphone apple
neutral,@apple battery life suck on iOS 5,apple battery life suck
neutral,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.,apple update seemed render work machine incapable opening video thanks apple zero useful productivity today
neutral,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?,apple committed cloud storage idisk raining soon idisk plan service storage
neutral,"Hey @apple why can't I share a reminder list from my iPhone?
Also why can't I login to the iCloud webpage to modify sharing from my phone?",apple share reminder list iphone also login icloud webpage modify sharing phone
neutral,Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade,apparently fuzzball crash congratulation apple another incompatible upgrade
neutral,could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous,could apple lion please integrate vertical space mission control horizontal business making nauseous
neutral,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f,someone explain whhyy apple distributing phone sprint store really http couf
neutral,"GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.",apple open text message painfully slow restore attempt succeed early adopterness get better
